title,artist,link
Of Christine Clay (1964),Connie Dearness,art/record/53583?highlight=*:*
Portrait of Fred McDonald (1947),Eric Forrest,art/record/50589?highlight=*:*
Swedish apron (1958),Unknown,art/record/102689?highlight=*:*
Portrait of a Seated Woman (1961),Robin Forrester,art/record/21295?highlight=*:*
Unknown (1946),Allan Lefley,art/record/50484?highlight=*:*
Obstacle - Govan Hill Baths (2014),Charles Myatt,art/record/47455?highlight=*:*
Side Plate,Emma Gillies,art/record/53616?highlight=*:*
Brass Rubbing of Monk with Chalice (Unknown),Unknown,art/record/21655?highlight=*:*
Untitled (Unknown),Rhalina Morgan,art/record/21688?highlight=*:*
Untitled - Nude Female Standing (1964),Eleanor Maiden,art/record/99360?highlight=*:*
Untitled (1967),Helen Pollock,art/record/22028?highlight=*:*
Unknown (1957),Andrew P. W. Conkie,art/record/50522?highlight=*:*
"Cast Study of 'Castor and Pollux', Roman Copy of Greek Original (1952)",Alastair Fairweather,art/record/50421?highlight=*:*
Side Plate,Emma Gillies,art/record/53617?highlight=*:*
Tombstone 1693 (1989-1990),Aline McLeod,art/record/21470?highlight=*:*
Untitiled (1960),Robert L Snowden,art/record/21540?highlight=*:*
Portrait of a Woman (1951),Madelaine Philip,art/record/21233?highlight=*:*
Unknown (1950),Thomas Clapperton,art/record/50561?highlight=*:*
Costume Study (1946),Alexander Cree,art/record/50542?highlight=*:*
Kitchen Interior,Ruth Walker,art/record/122896?highlight=*:*
Whale,Bridget Steed,art/record/93374?highlight=*:*
Untitled (1985),Jason Praete,art/record/21587?highlight=*:*
Untitled (2007),Regine Osbakk,art/record/99896?highlight=*:*
Man in His Garden (DEC 1977),Muriel A. M. Kirkwood,art/record/21672?highlight=*:*
Seated Figures and Flight of Stairs (1968),Ronald D. Forbes,art/record/22521?highlight=*:*
Natural Geometry series (a) (2015),Robin Crawford,art/record/53771?highlight=*:*
Seated Female Nude (1953),George Hamilton,art/record/20931?highlight=*:*
Princess Margaret tomb from Lincluden Collegiate Church (1912),Joseph Cavagnari,art/record/20569?highlight=*:*
Untitled (1961),Sheila M Gilchrist,art/record/99377?highlight=*:*
(1965),Frances Sander,art/record/99525?highlight=*:*
Teapot,Janet Gillies,art/record/122543?highlight=*:*
Rothering (1947),Dorothy M. Peach,art/record/21739?highlight=*:*
Figures and Shadows,Unknown,art/record/22645?highlight=*:*
Still Life with Button Mushrooms (1962),James T Carlyle,art/record/122857?highlight=*:*
Abstract with Crescent in Turquoise and Blue (Circa 1962),James T Carlyle,art/record/20760?highlight=*:*
Cushendun (08 APR 1968),Unknown,art/record/21496?highlight=*:*
Untitled (Unknown),Unknown,art/record/99905?highlight=*:*
Untitled (Unknown),Unknown,art/record/99920?highlight=*:*
Portrait of a Bearded Man (1950s),J Guthrie,art/record/20975?highlight=*:*
Abstract,V. Constant,art/record/111446?highlight=*:*
Girl in a Mask (Unknown),Cecil Collins,art/record/21681?highlight=*:*
Unknown,Alexander Cree,art/record/50549?highlight=*:*
Untitled (MAR 1997),Unknown,art/record/21919?highlight=*:*
Untitled - Still Life With Flowers (1961-1962),Gwendolene E Roger,art/record/99400?highlight=*:*
Portrait of a Young Woman (1958),Richard McNeill,art/record/20890?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,art/record/20674?highlight=*:*
Portrait of a Woman (1964),Carole V Danielson,art/record/21346?highlight=*:*
Multiple Studies of a Woman in a Long Dress and Bonnet (1956),Jacqueline A N Stieger,art/record/20820?highlight=*:*
24 Composition,Christopher Nugent,art/record/21527?highlight=*:*
Racing Circuit (1987-1988),Jane V Hyslop,art/record/21456?highlight=*:*
Unknown (1974),Ian Robertson,art/record/50390?highlight=*:*
Lewis Landscape (1983),Ann C. Campbell,art/record/123111?highlight=*:*
Unknown (1963),Janette Brown,art/record/50396?highlight=*:*
etc (2006),Catherine Robbie,art/record/99865?highlight=*:*
Self Portrait at an Easel (Circa 1961),Ann F Ward,art/record/122816?highlight=*:*
Small Portrait of a Woman in Brown,Polly A. Lister,art/record/22672?highlight=*:*
Untitled - Abstract Portrait of King (1961),John Mitchell,art/record/99366?highlight=*:*
Male Nude Leaning on a Table (verso),Unknown,art/record/22650?highlight=*:*
Standing Female Nude (1957),Ruth Illingworth,art/record/20934?highlight=*:*
Dying Adonis (Pre 1837),Clement Pappi,art/record/20596?highlight=*:*
Sienna Cathedral (1982),Ann Oram,art/record/102660?highlight=*:*
Unknown (1950),Zygmunt Bukowski,art/record/53557?highlight=*:*
Male Figure (1958),David Rifat,art/record/122731?highlight=*:*
Plate,Emma Gillies,art/record/53714?highlight=*:*
Unknown (1953-1954),Lawrence F. Baxter,art/record/50616?highlight=*:*
Sgraffito Wares I (Circa 1994),Lisa Ward,art/record/122792?highlight=*:*
Portrait of a Seated Figure (1958),Alan Alexander,art/record/21164?highlight=*:*
Self Portrait,Vivien Alexander,art/record/122918?highlight=*:*
Untitled (1977),Eve F. Thomson,art/record/99826?highlight=*:*
Untitled - Abstract Blue and Red Shapes (1989),Joanne Leonie Milne,art/record/99387?highlight=*:*
Unknown (1957),Morag Cuthbertson,art/record/50507?highlight=*:*
Seated Male Nude reading a Newspaper (1960),Jean Ritchie,art/record/20791?highlight=*:*
Plate,Emma Gillies,art/record/53718?highlight=*:*
Back of Bennachie,Hazel Holmes,art/record/21623?highlight=*:*
Untitled - Portrait of A Woman (1982),Tina-Marja Leppanen-Ritchie,art/record/99434?highlight=*:*
Men in a Rugby Changing Room (Circa 1952),Trevor Stubley,art/record/21412?highlight=*:*
Hand Thrown Pot,Emma Gillies,art/record/53734?highlight=*:*
Portrait of a Seated Man (1951),James P W Syme,art/record/21370?highlight=*:*
Seated Figure Reading Newspaper,Angus C. A. Hood,art/record/22610?highlight=*:*
Unknown (1968),Kenneth R Duffy,art/record/99514?highlight=*:*
Rabid Dog,Roland Corbin,art/record/122962?highlight=*:*
Portrait of Seated Woman Reading (1953),Roy McCallum,art/record/20898?highlight=*:*
Seated Female Nude (1958),Jean I. Beattie,art/record/20921?highlight=*:*
Untitled - Children Playing (1963),Monika L I Uecker,art/record/99445?highlight=*:*
Untitled (1964),Carol Handyside,art/record/99840?highlight=*:*
Unknown (1960),Hugh Deans,art/record/53575?highlight=*:*
Jug,Emma Gillies,art/record/53722?highlight=*:*
Untitled (1967),Kevin Maguire,art/record/22027?highlight=*:*
Vase,Emma Gillies,art/record/53738?highlight=*:*
Saucer,Emma Gillies,art/record/53624?highlight=*:*
Unknown (1952),Rosemary Bagshaw,art/record/53515?highlight=*:*
Figure Composition (Circa 1968),Alan T. Johnston,art/record/122691?highlight=*:*
Via D' Italia (Unknown),John Brown,art/record/21673?highlight=*:*
Seated Male Nude with Glasses (Circa 1968),Gregory Lummell,art/record/21284?highlight=*:*
Interior Scene (1968),Ian Patterson,art/record/21341?highlight=*:*
Jug,Emma Gillies,art/record/53740?highlight=*:*
Unknown (MAY 1948),John W. Corner,art/record/50516?highlight=*:*
Plate (1924),Emma Gillies,art/record/53727?highlight=*:*
Untitled (1969),Gabrielle Stubbs,art/record/22488?highlight=*:*
Seated Male Nude with Staff (1958),Ian Hodkinson,art/record/20882?highlight=*:*
Plate,Emma Gillies,art/record/53705?highlight=*:*
Green and Cream Geometric (1974),Evelyn White,art/record/122810?highlight=*:*
Untitled (1963),Ruth Walker,art/record/22017?highlight=*:*
Light Around Limbo (2016),Joseph Glover,art/record/99263?highlight=*:*
Unknown (1962),Carol Handyside,art/record/50480?highlight=*:*
Nude Study Female,Robert J. Brough,art/record/122855?highlight=*:*
Unknown,Alexander Cree,art/record/50547?highlight=*:*
Untitled (1983),Robert Rivers,art/record/99801?highlight=*:*
Portrait of a Girl (1937),Vanessa Bell,art/record/99798?highlight=*:*
The Sun Dissolves while Man Looks Away from the Unborn Child Mesmerized by the New Technologies,"Eduardo Luigi Paolozzi KBE, RA",art/record/21703?highlight=*:*
Seated Female Nude (1954),Leslie Drummond,art/record/21259?highlight=*:*
Untitled - City Highrise (Feb 1962),William Gillon,art/record/99482?highlight=*:*
"Tomb of Ferry de Gros, Lord of Dyeghem Nieunland",Unknown,art/record/20567?highlight=*:*
Unknown (1950),Muriel Davidson,art/record/53475?highlight=*:*
"3,500 Men (May 1986)",Andrew Arnott,art/record/99470?highlight=*:*
Untitled - Two Chefs in a Dark Room (1964-1965),Gordon Bryce,art/record/99280?highlight=*:*
Studio Corner (2003),Peter Scott,art/record/99937?highlight=*:*
Seated Skeleton (Circa 1955),Peter McGinn,art/record/21087?highlight=*:*
Untitled (Unknown),Unknown,art/record/21627?highlight=*:*
Untitled (Unknown),S J Dooley,art/record/99912?highlight=*:*
Girls from East Frieze of the Parthenon (1836-1837),NA,art/record/20681?highlight=*:*
Untitled (Unknown),Unknown,art/record/22000?highlight=*:*
Donkey and Cart in Landscape (Circa 1955),Mollie E N Langlands,art/record/21017?highlight=*:*
Portrait of a Man (1968),Donald C S Shaw,art/record/21403?highlight=*:*
Portrait of James McComb (1950),Thomas Kim Redpath,art/record/122732?highlight=*:*
Reclining Female Nude with Skeleton,Unknown,art/record/122803?highlight=*:*
Untitled - Still Life of Kitchen Table in Red (1963),William O. Little,art/record/99270?highlight=*:*
Abstract,C Pulsford,art/record/21084?highlight=*:*
Still Breathing,Stuart T. MacKenzie,art/record/22660?highlight=*:*
Still Life - Tomatoes (1960),Thora Clyne,art/record/22719?highlight=*:*
Untitled (Unknown),Unknown,art/record/21551?highlight=*:*
Inscription Panel from Trajan's Column (right side),Unknown,art/record/20537?highlight=*:*
Venus Marina,Unknown,art/record/20594?highlight=*:*
Metope South 27 from the Parthenon (1837),NA,art/record/20643?highlight=*:*
Portrait of a Woman (1951),Rosemary Bagshawe,art/record/21234?highlight=*:*
Untitled - Portrait of a Reading Woman (Apr 1963),William Gillon,art/record/99478?highlight=*:*
Portrait of a Woman (1947),James Cumming,art/record/21363?highlight=*:*
Rugby Players' Changing Room (1952),Trevor Stubley,art/record/20796?highlight=*:*
Portrait of a Woman (1953),Peter Brady,art/record/21203?highlight=*:*
Unknown (1950),James T. Ferguson,art/record/53496?highlight=*:*
Untitled (1967),Christine Watson,art/record/21772?highlight=*:*
Unknown (1978),William J. Rennie,art/record/50427?highlight=*:*
Forest (Circa 1988),Sheila MacGregor,art/record/21500?highlight=*:*
Unknown (1943-1944),William MacLaren,art/record/50490?highlight=*:*
Untitled (1969),John Stewart,art/record/99528?highlight=*:*
Unknown,Fiona Hewitt,art/record/53599?highlight=*:*
Portrait - Woman (1963),Janette R. Brown,art/record/123334?highlight=*:*
Portrait of a Seated Man (MAY 1960),John Gilbert,art/record/20997?highlight=*:*
Unknown (1963),Roger Cameron,art/record/50436?highlight=*:*
Landscape (1951),James P W Syme,art/record/20836?highlight=*:*
Untitled,Robin S. Taylor,art/record/122968?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,art/record/20698?highlight=*:*
Skeleton (1969),Richard Hunter,art/record/21275?highlight=*:*
From the Viking Age (1897),Pavlov Chailly,art/record/50469?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,art/record/21784?highlight=*:*
Female Nude (1949),Marion M Cooper,art/record/122861?highlight=*:*
Standing Female Nude (1949),Zygmunt Bukowski,art/record/22516?highlight=*:*
Portrait of a Young Man (1951),Pamela D Moore,art/record/21050?highlight=*:*
Two Girls by the Harbour (2006),John Bellany,art/record/21531?highlight=*:*
Back of Kneeling Male Nude (1953),Maurice Chamberlain,art/record/50559?highlight=*:*
Seated Female Nude (1956),J Salter,art/record/21183?highlight=*:*
Rabbit,Emma Gillies,art/record/53751?highlight=*:*
Tropical Bird Study (09 MAY 1962),Lesley M. Johns,art/record/99330?highlight=*:*
Design folio (1961),Sheila Flinn,art/record/102686?highlight=*:*
Standing Male Nude with Staff (1950),Cecile E M Johnston,art/record/21025?highlight=*:*
Ship in Dry Dock,Graham High,art/record/22532?highlight=*:*
Agriculture,Unknown,art/record/20534?highlight=*:*
Saucer,Emma Gillies,art/record/53661?highlight=*:*
Standing Male Nude (1960s),Alan Dempster,art/record/21277?highlight=*:*
Spanish Village (1957),David McClure,art/record/122252?highlight=*:*
Seated Female Nude (1958),David Rifat,art/record/20873?highlight=*:*
Graveyard and Church (possibly),John Brown,art/record/21525?highlight=*:*
Landscape (01 MAY 1985),Allison E Sharpe,art/record/21466?highlight=*:*
Untitled - Nude Male (1968-1969),Charles Ian Patterson,art/record/99409?highlight=*:*
Composition with Figures and Flags (Diptych) (1965),William Gillon,art/record/21314?highlight=*:*
Cast Study of Clement Pappi's 'Dying Adonis' (15 MAY 1950),David Michie,art/record/21036?highlight=*:*
Unknown,Robert Euman,art/record/53545?highlight=*:*
Plate,Emma Gillies,art/record/53671?highlight=*:*
Untitled (2003),Scott Laverie,art/record/93377?highlight=*:*
Untitled (Unknown),David Giblin,art/record/21635?highlight=*:*
Portrait of a Seated Woman (1958),Ann Forbes,art/record/21112?highlight=*:*
Standing Female Nude (1964),Kirkland Main,art/record/21167?highlight=*:*
Untitled (1960),Kathleen Russell,art/record/99519?highlight=*:*
Untitled (1997),Sera K,art/record/21779?highlight=*:*
Lucca (1949),J. C. Grant Duncan,art/record/21367?highlight=*:*
Untitled (1962),Leslie Johns,art/record/21767?highlight=*:*
Untitled (2007),Matt Carter,art/record/99975?highlight=*:*
Architectural Interior (1980s),Kathleen A. Binns,art/record/21430?highlight=*:*
Gem cabinet 3 (of 6) containing 43 medallions,Unknown,art/record/20617?highlight=*:*
Untitled (2002),Kirsty MacDonald,art/record/99949?highlight=*:*
"Commercial Street, Leith (1950)",John W. Corner,art/record/21828?highlight=*:*
Crazily Paved (Unknown),John Brown,art/record/21661?highlight=*:*
A Puppet of Power (Circa 1956),Peter G. Collins,art/record/22576?highlight=*:*
Memories (1983),Stuart T. MacKenzie,art/record/22629?highlight=*:*
Sugar Bowl,Emma Gillies,art/record/53676?highlight=*:*
Unknown (1960),Hugh Deans,art/record/53570?highlight=*:*
Frieze from the Temple of Athena Nike (left slab) (1827),NA,art/record/20625?highlight=*:*
Male Model in Studio (1961),Gabrielle M. Stubbs,art/record/122761?highlight=*:*
Untitled (2002),Gillian Curry,art/record/99939?highlight=*:*
Harbour Scene (1955),Myra E. Soni,art/record/22736?highlight=*:*
Standing Nude Woman (1964),William M. McG. Gillon,art/record/122755?highlight=*:*
Portrait of a Man (Circa 1951),Helmut F G Petzsch,art/record/21391?highlight=*:*
"Metope 9, south entablature, Parthenon (1837)",NA,art/record/20645?highlight=*:*
Standing Nude Woman (1955),Edith C. Duke,art/record/122832?highlight=*:*
"""Mr Smith can't remove himself because he doesn't want to""",Ronald D. Forbes,art/record/22583?highlight=*:*
Untitled,Susan Pettinger,art/record/112500?highlight=*:*
Espresso Saucer,Emma Gillies,art/record/53683?highlight=*:*
Garden of Eden (1987),Unknown,art/record/21608?highlight=*:*
Portrait of a Man (Circa 1952),John Houston,art/record/21351?highlight=*:*
Abstract Butterfly (1961),John G. Mitchell,art/record/122911?highlight=*:*
Untitled (2002),Zillah Green,art/record/99951?highlight=*:*
Espresso Saucer,Emma Gillies,art/record/53679?highlight=*:*
Untitled - City Scene at Night (1964-1965),William Gillon,art/record/99483?highlight=*:*
Portrait of a Woman (Carole Danielson) (1964),Kirkland Main,art/record/21168?highlight=*:*
Man and Woman in Brown (Circa 1975),Robin Paine,art/record/22585?highlight=*:*
Woman with Cigarettes (Circa 1964),Kirkland Main,art/record/122718?highlight=*:*
Unknown (1965),William S. T. Brodie,art/record/53597?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,art/record/20667?highlight=*:*
Unknown (1957),Peter Crorkin,art/record/50508?highlight=*:*
Reclining Male Nude (FEB 1951),L Weir,art/record/21223?highlight=*:*
Untitled (1989),Joanne Leonie Milne,art/record/21896?highlight=*:*
Unknown,Douglas Gordon,art/record/50633?highlight=*:*
Untitled (1966),Molly Harris,art/record/99834?highlight=*:*
Untitled (Unknown),Nicholas File,art/record/21781?highlight=*:*
Untitled (Unknown),Unknown,art/record/21586?highlight=*:*
Saucer,Emma Gillies,art/record/53659?highlight=*:*
Portrait of a Man in a Suit (1959),Albert Robson,art/record/20784?highlight=*:*
Twist (1989),Dorothy Black,art/record/21849?highlight=*:*
Unknown,Unknown,art/record/50430?highlight=*:*
Seated Male Nude (25 JAN 1954),Catherine M Gibson,art/record/21229?highlight=*:*
Man in Black (possibly),Claudia Petretti,art/record/21482?highlight=*:*
Sampler (1932),Patty Mitchell,art/record/100013?highlight=*:*
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),Gordon Bryce,art/record/99274?highlight=*:*
John Mooney Paintings (1984),John Mooney,art/record/21846?highlight=*:*
Buildings,J Shore,art/record/21494?highlight=*:*
Female Nude with Pitcher,Samuel John Peploe,art/record/20736?highlight=*:*
The Cape of Good Hope Pub,Ella Smith,art/record/21429?highlight=*:*
Still Life with Triumphal Arch (Circa 1958),Alan M. Alexander,art/record/122886?highlight=*:*
Figure of Dionysos from the Parthenon (east pediment) (1837),Westmacott,art/record/20632?highlight=*:*
Piana degli Greci (1958),Beatrice Patricia Grimshaw,art/record/53481?highlight=*:*
Untitled (1946),Vivian Chapman,art/record/21735?highlight=*:*
Untitled (1965),Euphemia (Fay) S. Wright,art/record/22496?highlight=*:*
Teacup,Emma Gillies,art/record/53634?highlight=*:*
Unknown (1957),Alejandro B. Brasó,art/record/50602?highlight=*:*
Harbour (Circa 1965),James B. Thomson,art/record/22619?highlight=*:*
Seated Elderly Couple (Apr 1963),John Bellany,art/record/20767?highlight=*:*
Untitled - Sitting Nude Woman (1968),Alastair Burns,art/record/99475?highlight=*:*
Putti with Candelabrum (right group),Unknown,art/record/20538?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,art/record/20728?highlight=*:*
Inverleith,Janice McNab,art/record/22526?highlight=*:*
Notes for Final Composition (23 SEP 1985),Unknown,art/record/53539?highlight=*:*
Step 3 (2013),Maria Hadam,art/record/21308?highlight=*:*
Standing Male Nude (1964),Kirkland Main,art/record/21169?highlight=*:*
Barley Field (1963),Anne E Jones,art/record/99257?highlight=*:*
Untitled (1987),Martin McInally,art/record/21939?highlight=*:*
Seated Female Nude (1953),Diana Douglas-Hamilton,art/record/20927?highlight=*:*
Unknown (1960),Hugh Deans,art/record/53577?highlight=*:*
Abstract in Grey and Brown (1994),Paul Dalrymple,art/record/122904?highlight=*:*
Banners of the Banned (MAY 2017),Elle McKee,art/record/100019?highlight=*:*
Still Life Jugs (1957),Beatrice Patricia Grimshaw,art/record/122878?highlight=*:*
Untitled (JAN 1997),Sharon Cornwill,art/record/21920?highlight=*:*
The Jungle (1990),John Brown,art/record/99469?highlight=*:*
Seated Male Nude (1953),Roy McCallum,art/record/20897?highlight=*:*
Elders from East Frieze of the Parthenon,NA,art/record/20685?highlight=*:*
Unknown (1968),Maureen Purcell,art/record/53588?highlight=*:*
Still Life with Torn Paper Collage,Unknown,art/record/122783?highlight=*:*
Portrait of a Seated Man (MAY 1960),John Gilbert,art/record/20996?highlight=*:*
West Coast Seascape (Unknown),Catherine Orbach,art/record/21790?highlight=*:*
Untitled (Unknown),Unknown,art/record/21566?highlight=*:*
Double Portrait (Circa 1981),Elizabeth A. Adamson,art/record/123291?highlight=*:*
Plate,Emma Gillies,art/record/53712?highlight=*:*
Portrait of a Man,Michael Douleny,art/record/21480?highlight=*:*
Portrait of a Woman (1962),Helen Wishart,art/record/21297?highlight=*:*
Portrait of a Woman (1959),Kenneth Dingwall,art/record/21328?highlight=*:*
Seated Female Nude (1959),C Byron,art/record/20917?highlight=*:*
Unknown (Unknown),Unknown,art/record/21675?highlight=*:*
Portrait of a Middle Aged Woman (1949),Leszek Muszynski,art/record/22515?highlight=*:*
Reclining Male Nude (1959),Jean I. Beattie,art/record/20923?highlight=*:*
Untitled (1990s),Duncan N. Ganley,art/record/21854?highlight=*:*
Falling Figure in an Autumn Valley (1968),Alistair T. B. Burns,art/record/22589?highlight=*:*
Unknown (1968),Gillian Mather,art/record/53589?highlight=*:*
Untitled (Unknown),Anna Chapman,art/record/21603?highlight=*:*
Portrait of a Woman (1959),V Thomson,art/record/20961?highlight=*:*
Untitled (1965),Hugh Tuckerman,art/record/22025?highlight=*:*
Unknown (1949),Mary D Thomson,art/record/50452?highlight=*:*
Untitled (Unknown),J.,art/record/21953?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,art/record/20690?highlight=*:*
The Bakery,Mollie E N Langlands,art/record/122688?highlight=*:*
Swirlings (1989),Dorothy Black,art/record/21972?highlight=*:*
Untitled (Dec 1972),Alison Duncan,art/record/21581?highlight=*:*
Unknown (1950),Jacquetta Burn-Callander,art/record/50573?highlight=*:*
Reclining Male Nude (1958),Ian Hodkinson,art/record/20880?highlight=*:*
Bathers (Circa 1959),Robert M E Callender,art/record/122835?highlight=*:*
Seascape (1978),Michael Kinane,art/record/21492?highlight=*:*
Back of Standing Male Nude with Stick (1954),John P Busby,art/record/21377?highlight=*:*
Untitled,Douglas Cook,art/record/22567?highlight=*:*
Woman at a Table (1959),Alan M. Alexander,art/record/122848?highlight=*:*
Portrait of a Woman (1950),Zygmunt Bukowski,art/record/21368?highlight=*:*
Self Portrait - Male,Alexander Cree,art/record/22697?highlight=*:*
Teapot (1924),Emma Gillies,art/record/53742?highlight=*:*
Still Life with Kettle,Ronald G Browne,art/record/122935?highlight=*:*
Untitled (1963),Carol Handyside,art/record/99842?highlight=*:*
Anti-Matter (2013),Marissa Stoffer,art/record/47441?highlight=*:*
Plate,Emma Gillies,art/record/53729?highlight=*:*
Portrait of a Woman (1939),Jessie May Stirling,art/record/21135?highlight=*:*
Untitled - Kings and Queens (1969),Michael T R B Turnbull,art/record/99446?highlight=*:*
Still Life with Garden Fork (1964),Alexander Moffat,art/record/93355?highlight=*:*
Unknown,J Hamilton Glass,art/record/50459?highlight=*:*
Portrait of a Man (1955),Alexander S Campbell,art/record/21316?highlight=*:*
Landscape (possibly),Donald Clark,art/record/21487?highlight=*:*
Portrait of a Man (1954),Elizabeth Blackadder,art/record/21405?highlight=*:*
Unknown (1947),Eric Forrest,art/record/50587?highlight=*:*
"Seated Fate, east pediment of the Parthenon",NA,art/record/20637?highlight=*:*
Unknown (1954),D. Gordon Campbell,art/record/50634?highlight=*:*
Unknown,Unknown,art/record/50384?highlight=*:*
Untitled (2004),Rebecca Firth,art/record/21818?highlight=*:*
Untitled (2003),Andrea Bain,art/record/99938?highlight=*:*
Unknown (1962),Lesley M. Johns,art/record/50502?highlight=*:*
Portrait of Sister (1958),Frances M. Walker,art/record/22680?highlight=*:*
Unknown (1960),Hugh Deans,art/record/53576?highlight=*:*
Untitled (1989),Joanne Leonie Milne,art/record/21562?highlight=*:*
Untitled (1946),Eileen Bennett,art/record/21733?highlight=*:*
Valley Landscape (Circa 1950),Marion M Cooper,art/record/21389?highlight=*:*
Life Drawing (Male Nude Reclining on Front) (1962),John Bellany,art/record/20763?highlight=*:*
Untitled (1983),Susan Coles,art/record/21892?highlight=*:*
Two Standing Male Nudes (1953),Eileen Duncan,art/record/20930?highlight=*:*
Untitled - Abstract Figures and Shapes (1965-1966),James B. Thomson,art/record/99449?highlight=*:*
Still Life (1995),Lorna McIntosh,art/record/22607?highlight=*:*
The Strike (1953),Robert Marx,art/record/21691?highlight=*:*
Farmland (possibly),Donald Clark,art/record/21488?highlight=*:*
Placa del Sol (1991),Caroline Conway,art/record/21839?highlight=*:*
Seated Female Nude (1953),Robert L Thomson,art/record/21122?highlight=*:*
Food Print (2006),Tomoko Kawanaka,art/record/99862?highlight=*:*
Untitled (1965),Julia A M Barnard,art/record/99382?highlight=*:*
Babies constructed bonnet (1890-1900),Unknown,art/record/102672?highlight=*:*
Self Portrait (1992),Victoria A. James,art/record/22742?highlight=*:*
Seated Male Nude (17 FEB 1959),A Robson,art/record/20937?highlight=*:*
Male Nude Seated (Circa 1949),Alistair F. Flattely,art/record/122919?highlight=*:*
Untitled - Abstract Bridge and Ballons (1968),Alastair Burns,art/record/99474?highlight=*:*
Untitled (Unknown),Unknown,art/record/21991?highlight=*:*
Study for completed image (1960),Vivien Alexander,art/record/50625?highlight=*:*
Untitled (Unknown),David Douglas,art/record/21641?highlight=*:*
Life Painting (1918),Anne Redpath,art/record/20735?highlight=*:*
Standing Male Nude (1959),James C. Y. Gavin,art/record/20877?highlight=*:*
On Italian Balcony,Muriel Davidson,art/record/53477?highlight=*:*
Church (1989),Joanne Leonie Milne,art/record/21452?highlight=*:*
Abstract Landscape (Circa 1964),Kirkland Main,art/record/21171?highlight=*:*
Self Portrait (1950),William James Laidlaw Baillie,art/record/21361?highlight=*:*
Chariot from North Frieze of the Parthenon (1836-1837),NA,art/record/20714?highlight=*:*
Standing Man with Scythe (1950s),John Houston,art/record/21046?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,art/record/20672?highlight=*:*
Mexican needleweaving.birds and hearts (1951),Unknown,art/record/102693?highlight=*:*
Portrait of a Seated Man in a Cap (1960),Kenneth Muir,art/record/20983?highlight=*:*
Unknown (1950),Alexander Cree,art/record/50541?highlight=*:*
Green and Red Still Life,Jacqueline A. Waterson,art/record/122814?highlight=*:*
Untitled (1963),Janette Brown,art/record/22008?highlight=*:*
Five Figures in Light and Shade (1960),Ann F Ward,art/record/123104?highlight=*:*
Unknown (1966),John Nelson,art/record/50497?highlight=*:*
Untitled - Portrait of a Nude Female (1972),Lindsay R S Gordon,art/record/99421?highlight=*:*
Unknown (1949),Betty Elston,art/record/50580?highlight=*:*
Composition with Sinking Ship and Lightbulb (1986),David Hosie,art/record/99529?highlight=*:*
Performing Labour in an Industrial Setting II (2020),Aisling Ward,art/record/113776?highlight=*:*
Oedipus is King (Circa 1964),Kirkland Main,art/record/122717?highlight=*:*
Untitled (1962),Janette Brown,art/record/99375?highlight=*:*
Portrait of a Woman at a Table (1960),Dorothea Brown,art/record/20995?highlight=*:*
Circus (1950),Cecile E M Johnston,art/record/21027?highlight=*:*
Figures by a canal (Circa 1987),John Picking,art/record/122740?highlight=*:*
Composition with Washing Line (Circa 1987),Gary Ferguson,art/record/22620?highlight=*:*
Portrait of a Young Man (1951),James P W Syme,art/record/21240?highlight=*:*
Sitting Nude Woman (Circa 1975),Fiona G. Robertson,art/record/123342?highlight=*:*
Standing Female Nude,Alastair Fairweather,art/record/50424?highlight=*:*
Pyreneen Vogel (2002),Frances Ryan,art/record/21806?highlight=*:*
Untitled,NA,art/record/111044?highlight=*:*
Untitled - Three Figures At the Opera (1963),Ann F Ward,art/record/99344?highlight=*:*
Three studies on a pink ground (girl with clasped hands) (1949),Barbara Hepworth,art/record/20769?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,art/record/21947?highlight=*:*
Male Nude on Step Ladders,Helen G. S Forde,art/record/22671?highlight=*:*
Scapa Flow (1982),Reinhard Behrens,art/record/21665?highlight=*:*
The Thinker (1969),Marko Krsmanovic,art/record/21647?highlight=*:*
Untitled (1962),Ethel V Hope,art/record/99836?highlight=*:*
Still Life with Drapes (1966),James H. Fairgrieve,art/record/22651?highlight=*:*
November III (St Andrews) (1991),Wilhelmina Barns-Graham CBE HRSA HRSW,art/record/54749?highlight=*:*
Untitled - Portrait of Red-Haired Woman (1965),Ian Paterson,art/record/99410?highlight=*:*
Winter Fence (1977),Alfons Bytautas,art/record/21549?highlight=*:*
untitled (1984),David Hosie,art/record/112340?highlight=*:*
Untitled (1967),Ian Roy,art/record/21757?highlight=*:*
Bridge at Night,H. Livingstone,art/record/22535?highlight=*:*
Unknown,Unknown,art/record/50417?highlight=*:*
Portrait of a Woman (FEB 1952),Martin G C McKeown,art/record/21414?highlight=*:*
Drawn from Nature Exhibition Poster (Unknown),Unknown,art/record/21847?highlight=*:*
