title,artist,link
Aduton 51 (1977),Paul Feiler,art/record/21666?highlight=*:*
Untitled (Unknown),Louisa Burnett Hall,art/record/21958?highlight=*:*
Portrait of a Woman (1957),Colin Turner,art/record/21144?highlight=*:*
Untitled,Elaine Speirs,art/record/122771?highlight=*:*
Untitled (1991-1992),Kate McKenzie,art/record/21993?highlight=*:*
Child's collar. Chinese,Unknown,art/record/102674?highlight=*:*
Bubbie's Bay (2006),Rhoda Rosenburg,art/record/99878?highlight=*:*
Untitled (Unknown),Renny Tait,art/record/21645?highlight=*:*
Swirl V (1998),Fionna Buck,art/record/21674?highlight=*:*
Seated Woman in a Green Hat (Circa 1908),Agnes Sim,art/record/122782?highlight=*:*
Krokadeel (1959),"Eduardo Luigi Paolozzi KBE, RA",art/record/22035?highlight=*:*
Abstract Female Nude (1965),William Gillon,art/record/21312?highlight=*:*
Untitled (1969),Jennifer M. Hughes,art/record/99837?highlight=*:*
Seated Female Nude,Colin Stewart,art/record/21425?highlight=*:*
Untitled (1986),Andrew Arnott,art/record/21626?highlight=*:*
San Gimignano from the Fields (1989),Jane V Hyslop,art/record/21693?highlight=*:*
Untitled - Figured Drawing of Woman in Early Ninteenth Century Costume (1964-1965),Gordon Bryce,art/record/99328?highlight=*:*
Study for Life Painting (1958),Andrew Smith,art/record/21149?highlight=*:*
"Armorial panel from left tower of Mar's Wark, Stirling (Pre 1893)",Unknown,art/record/20555?highlight=*:*
Back of Standing Female Nude in Clay Modelling Class (1973),Robin S. Taylor,art/record/123115?highlight=*:*
"Small Classical Head, possibly Apollo",NA,art/record/20605?highlight=*:*
Unknown,George Roderick Carmichael,art/record/50566?highlight=*:*
Old Man Sitting,Agnes Sim,art/record/122779?highlight=*:*
Untitled (Unknown),J Nicoll,art/record/21728?highlight=*:*
Reclining Male Nude (25 NOV 1949),Adam Robson,art/record/20811?highlight=*:*
Espresso Cup,Emma Gillies,art/record/53700?highlight=*:*
Parthenon Frieze in Miniature,John Henning,art/record/20584?highlight=*:*
Still Life with Tea and Coffee Pots (1960),Elizabeth M. Hansen,art/record/99838?highlight=*:*
Cafe (Circa 1955),Alexander S Campbell,art/record/122844?highlight=*:*
Portrait of Mary Edmond (1954),Moira E. Brown,art/record/122807?highlight=*:*
Untitled (1963),Monika L. Uecher,art/record/21774?highlight=*:*
Portrait of a Seated Man (1954),Ursula Giles,art/record/21211?highlight=*:*
Standing Male Nude with Cane (1958),Lesley Crawford,art/record/21109?highlight=*:*
View of Garden with Washing Lines (1987),Margaret L. Smyth,art/record/22559?highlight=*:*
Nude Female in Studio (1967),Sylvia M. R. Cameron,art/record/122909?highlight=*:*
Seated Female Nude,Colin Lawson,art/record/20774?highlight=*:*
Untitled - Holyrood Palace (1978-1979),Thomas F. C. Denny,art/record/99413?highlight=*:*
Small relief with figure in clerical dress,NA,art/record/20611?highlight=*:*
Milk Bottles (1967),Kevin Maguire,art/record/123339?highlight=*:*
Side Plate,Emma Gillies,art/record/53610?highlight=*:*
Organic Abstract Mural Design (1968),Janet G Leask,art/record/99261?highlight=*:*
Unknown,Christopher Nugent,art/record/50429?highlight=*:*
Portrait of a Young Man (1963),Leon Francesco Morrocco,art/record/122973?highlight=*:*
Untitled (Unknown),Unknown,art/record/21978?highlight=*:*
Seated Female Nude (03 FEB 1959),Barbara Strachan,art/record/20870?highlight=*:*
Unknown (Circa 1890),Unknown,art/record/50466?highlight=*:*
From Ponte Rialto Venezia (10 MAR 1948),Marjorie Wallace,art/record/20854?highlight=*:*
Stately Dance (1947),Allan W. Robson,art/record/21741?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,art/record/20704?highlight=*:*
Works of a Strange Device: Drawing Smoke (2016),Suzanne Priestley,art/record/99239?highlight=*:*
"Metope 29, south entablature, Parthenon (1837)",NA,art/record/20648?highlight=*:*
Abstract (1989),Linda A. Henniker,art/record/21455?highlight=*:*
Teacup,Emma Gillies,art/record/53642?highlight=*:*
Figure of a river-god from west pediment,NA,art/record/20633?highlight=*:*
Two Red Abstract People,Francis Convery,art/record/111440?highlight=*:*
Standing Female Nude (1969),Rosemary Matheson,art/record/21098?highlight=*:*
Woman in Pink Cardigan (1983-1988),Renny Tait,art/record/21503?highlight=*:*
Unknown (Circa 1890),Unknown,art/record/50462?highlight=*:*
Unknown (1950),John W. Corner,art/record/50517?highlight=*:*
Two Standing Male Nudes (24 JAN 1951),Norma G Reid,art/record/21393?highlight=*:*
Untitled (1963),Madelene R Galloway,art/record/99821?highlight=*:*
Sixteen Boxes,John Mooney,art/record/21804?highlight=*:*
Unknown (1950),Patrick W. Barclay,art/record/50621?highlight=*:*
Lid,Emma Gillies,art/record/122076?highlight=*:*
Reclining Nude with Jacket (1967),Christine Malcolm,art/record/21266?highlight=*:*
Portrait of a Man (1959),NA,art/record/20973?highlight=*:*
Cityscape,Norman Taylor,art/record/22582?highlight=*:*
"Untitled - Abstract Green, Purple and Brown Shapes (1989)",Joanne Leonie Milne,art/record/99388?highlight=*:*
Portrait of a Man (1939),Jessie May Stirling,art/record/21134?highlight=*:*
Standing Female Nude (1957),Peter Coyle,art/record/20969?highlight=*:*
Portrait of a Seated Woman (1958),Alan Alexander,art/record/21166?highlight=*:*
Edinburgh Castle,J. McGonigal,art/record/122750?highlight=*:*
Abstract in Brown and Blue (1988),George M. Glen,art/record/22565?highlight=*:*
Unknown (1946),Allan Lefley,art/record/50485?highlight=*:*
Unknown (1950),Patrick W. Barclay,art/record/50620?highlight=*:*
A Head (Unknown),Unknown,art/record/21561?highlight=*:*
Interior (Circa 1975),Brian D. Henderson,art/record/22623?highlight=*:*
Espresso Saucer,Emma Gillies,art/record/53678?highlight=*:*
Unknown (1975),Ruth Stiven,art/record/50398?highlight=*:*
Untitled,Unknown,art/record/102695?highlight=*:*
Portrait of a Woman (1953),A Scott,art/record/21198?highlight=*:*
Untitled (Purple) (2015),Phoebe Mitchell,art/record/53778?highlight=*:*
Saucer,Emma Gillies,art/record/53665?highlight=*:*
Portrait of a Man (1960),Jean Cochrane,art/record/20981?highlight=*:*
Unknown,Douglas Baxter,art/record/50400?highlight=*:*
Evening Jaipur No.2,Ernest S. Lumsden,art/record/21750?highlight=*:*
March Morning (Circa 1956),Peter G. Collins,art/record/22648?highlight=*:*
Unknown (1957),William J. Dungate,art/record/53524?highlight=*:*
Apollo Sauroktonos,Unknown,art/record/20588?highlight=*:*
Sleep and the City (1957),Norman E Kirkpatrick,art/record/21024?highlight=*:*
"Figure Composition with Nurse and Child, and Woman with Budgies (Circa 1950)",Edward A. Gage,art/record/22579?highlight=*:*
Giraffe,Emma Gillies,art/record/53749?highlight=*:*
Standing Male Nudes (1950),Sheila Robertson,art/record/20808?highlight=*:*
Couple Near a Window,Unknown,art/record/22597?highlight=*:*
Standing Male Nude with Staff (Circa 1952),David Michie,art/record/21035?highlight=*:*
Seaside Landscape (1953),Thelma M Macdonald,art/record/21011?highlight=*:*
Seated Man and Woman,Elizabeth Blackadder,art/record/20775?highlight=*:*
Abstract with Blue Stripes (quadriptych) (1969),Ian G. Robertson,art/record/22571?highlight=*:*
Self portrait (2006),Bridget Steed,art/record/99857?highlight=*:*
Untitled - Leaning Semi-Nude Male (1962),Roselyn M Underwood,art/record/99443?highlight=*:*
Man Sleeping (Possiby),Claudia Petretti,art/record/21477?highlight=*:*
Vision in Time III (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,art/record/54752?highlight=*:*
Self Portrait (Nov 1981),Richard Wright,art/record/20771?highlight=*:*
Ship in the Dockyard,Caroline Boyle,art/record/21502?highlight=*:*
Aerial (2007),Anna Warsop,art/record/99904?highlight=*:*
Untitled,Kirkland Main,art/record/99988?highlight=*:*
Unknown (Unknown),Unknown,art/record/21807?highlight=*:*
Self Portrait (1950),Zygmunt Bukowski,art/record/22687?highlight=*:*
Child's chinese headdress,Unknown,art/record/102677?highlight=*:*
Seated Female Nude (1956),Priscilla McEwan,art/record/21237?highlight=*:*
Reclining Male Nude (1952),Annette G B Ronald,art/record/20817?highlight=*:*
Untitled - Abstract Male (1960),George H McIntosh,art/record/99396?highlight=*:*
Woman in Garden (1952),Mollie E N Langlands,art/record/22652?highlight=*:*
Portrait of a Man (1959),Jean I. Beattie,art/record/20920?highlight=*:*
Book holder,Winsome Douglass,art/record/113838?highlight=*:*
St. George (Pre 1837),Unknown,art/record/20590?highlight=*:*
Legless Graham (Unknown),Jennifer Blake,art/record/21995?highlight=*:*
Unknown,Unknown,art/record/50420?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,art/record/21786?highlight=*:*
Unknown,Gibbs,art/record/50415?highlight=*:*
Untitled (Unknown),Unknown,art/record/21617?highlight=*:*
Saucer,Emma Gillies,art/record/53666?highlight=*:*
Saucer,Emma Gillies,art/record/53632?highlight=*:*
Untitled (2001),Antonio Marcos Martin,art/record/21921?highlight=*:*
Portrait of Seated Woman (25 JAN 1966),George Donald,art/record/21175?highlight=*:*
Untitled (Unknown),Unknown,art/record/21982?highlight=*:*
Seated Male Nude in High-back Chair (1969),James Campbell,art/record/21270?highlight=*:*
Prophet (1953),Ben Zion,art/record/21684?highlight=*:*
Winged Victory of Samothrace (Post 1879),Musée Royal du Louvre,art/record/20585?highlight=*:*
Portrait of a Young Woman (1960),William Hillary,art/record/20984?highlight=*:*
Still Life - Fish (1961),Thora Clyne,art/record/22640?highlight=*:*
Untitled (1974),Fiona Carlisle,art/record/21594?highlight=*:*
Building in a Landscape,Ruth Stirling,art/record/21523?highlight=*:*
Table-Top Still Life (Circa 1968),Alan T. Johnston,art/record/122693?highlight=*:*
Unknown (Unknown),Unknown,art/record/21904?highlight=*:*
Composition with Three Figures against a Pink and Yellow Background (Circa 1968),Alan T. Johnston,art/record/22596?highlight=*:*
Virgin and Child (statuette head of child missing),Unknown,art/record/20559?highlight=*:*
Figure in a Setting (Circa 1963),Unknown,art/record/122818?highlight=*:*
"""Kilns"" Longpoint (1949)",Alfred Hackney,art/record/123557?highlight=*:*
Standing Female Nude (NOV 1957),Walter Miller,art/record/20908?highlight=*:*
Untitled (1987),Susan Jones,art/record/21880?highlight=*:*
Seated Female Nude (1953),James Martin,art/record/21059?highlight=*:*
(1965),Frances Sander,art/record/99526?highlight=*:*
Unknown,Alan M. Alexander,art/record/50599?highlight=*:*
Bird in Flight (1988),Wilhelmina Barns-Graham CBE HRSA HRSW,art/record/99302?highlight=*:*
Portrait of a Seated Woman (1962),Elizabeth G. Kellar,art/record/21293?highlight=*:*
Untitled,R. Euman,art/record/112502?highlight=*:*
Standing Female Nude (Circa 1952),David Michie,art/record/21037?highlight=*:*
Untitled - Abstract Ocean of Dark Reds and Greens and Blacks (1993),Norman Shaw,art/record/99463?highlight=*:*
View of a Fair (1949),David McClure,art/record/21333?highlight=*:*
Unknown (1961),John Binning,art/record/53587?highlight=*:*
Woman with Fish on her Head,John Bellany,art/record/21530?highlight=*:*
Abstract (Unknown),Mark Harris,art/record/21660?highlight=*:*
Unknown,Gordon Anderson,art/record/50411?highlight=*:*
Untitled - Woman in Hat with Ribbon (1980),Carolyn S Byres,art/record/99426?highlight=*:*
Portrait of Andrew Gorrie (1964),Joyce M Cumming,art/record/21347?highlight=*:*
Unknown,Jeffery Camp,art/record/50564?highlight=*:*
The Smile You Put On Everyday (2016),Ruoyan Wang,art/record/99241?highlight=*:*
Head of Niccolo da Uzzano,NA,art/record/20606?highlight=*:*
"Couplings, Paper bags (2017)",Tessa Lynch,art/record/102737?highlight=*:*
Drawing of Dominico Mancini (1946),Dorothy M. Peach,art/record/21740?highlight=*:*
Reclining Female Nude on Bed with White Drapes (1994),Susan J. Anderson,art/record/122963?highlight=*:*
Portrait of a Man (1968),Doreen Turner,art/record/21271?highlight=*:*
Hand Thrown Pot,Emma Gillies,art/record/53736?highlight=*:*
Untitled,Bennett,art/record/111042?highlight=*:*
Plakati Hrvatskog Narodnog Kazališta Split (1984),Boris Bućan,art/record/22036?highlight=*:*
Horse (1920s),Emma Gillies,art/record/122121?highlight=*:*
Still Life and Boat at Sea (1961),Vivien Alexander,art/record/122849?highlight=*:*
Untitled (1962),Robert S. Crozier,art/record/112311?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,art/record/20708?highlight=*:*
Studio Interior (Unknown),Hilary A. Fisher,art/record/21678?highlight=*:*
Untitled (1966),Helen G. S Forde,art/record/99817?highlight=*:*
Untitled (1996),Jennifer C. Lindsay,art/record/21929?highlight=*:*
Woman Seated (1954),John P Busby,art/record/21380?highlight=*:*
Unknown,Mary C. A. Edmond,art/record/53523?highlight=*:*
Anat (1966),Norman Orr,art/record/99405?highlight=*:*
Seated Man in Traditional Dress (Undated but found amongst collection of ECA Diploma works from 1960s.),Barreton,art/record/21290?highlight=*:*
Untitled - Nude Male in the Forest (1963),Leonore D Mackay,art/record/99395?highlight=*:*
Performing Labour in an Industrial Setting III (2020),Aisling Ward,art/record/113777?highlight=*:*
Untitled - Two Girls On a Walk (1987),Susan Jane Mowatt,art/record/99414?highlight=*:*
Landscape (1957),Sheena McEwan,art/record/21010?highlight=*:*
Romeing (2013),Marissa Stoffer,art/record/47444?highlight=*:*
The Judgement of Paris (1959),Kenneth Dingwall,art/record/22713?highlight=*:*
Unknown (1982),Donald Urquhart,art/record/99516?highlight=*:*
Seated Female Nude (1953),Lilias Stirling,art/record/20944?highlight=*:*
Summer Fayre,Unknown,art/record/22658?highlight=*:*
Unknown,Unknown,art/record/50419?highlight=*:*
Unknown (1946),William G. Craig,art/record/50510?highlight=*:*
Isabella of Aragon (broken) (Post 1912),Unknown,art/record/20532?highlight=*:*
Untitled (Unknown),A. Geraldine Gowan,art/record/21580?highlight=*:*
Side Plate,Emma Gillies,art/record/53611?highlight=*:*
Memory and Process (2015),Callum Watson,art/record/53779?highlight=*:*
Cheeseplant No. 3,Susan Alexander,art/record/50402?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,art/record/21151?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,art/record/50445?highlight=*:*
Reclining Female Nude (1948),Victorine Anne Schilsky,art/record/20831?highlight=*:*
Untitled,Dr Ainslie Yule,art/record/99532?highlight=*:*
Unknown (1950),John W. Corner,art/record/50519?highlight=*:*
Untitled (Unknown),Unknown,art/record/21856?highlight=*:*
Unknown (1947),Anne Anderson,art/record/50529?highlight=*:*
Brazie (1969),"Eduardo Luigi Paolozzi KBE, RA",art/record/21701?highlight=*:*
Sampler. Mary Ann Park (1819),Mary Ann Park,art/record/102706?highlight=*:*
Harbour at Night,Derek McGuire,art/record/21511?highlight=*:*
Plate,Emma Gillies,art/record/53707?highlight=*:*
Untitled (2006),Daisy Richardson,art/record/99866?highlight=*:*
Frieze from the Temple of Athena Nike (far right) (1827),NA,art/record/20628?highlight=*:*
One mould and five wax portrait miniatures (Post 1860),Unknown,art/record/20614?highlight=*:*
Nude (1950),Allan Carr,art/record/110955?highlight=*:*
Abstract,V. Constant,art/record/111445?highlight=*:*
Untitled (1968),Sheila Wardrope,art/record/22495?highlight=*:*
Portrait of a Man in Red Shirt (1968),Alan T. Johnston,art/record/21423?highlight=*:*
Female Head Study (1949),Richard Lovell,art/record/50488?highlight=*:*
Nude Reclining,John Johnstone,art/record/122696?highlight=*:*
Portrait in Green,Claudia Petretti,art/record/21438?highlight=*:*
Unknown (Circa 1890),Unknown,art/record/50465?highlight=*:*
Untitled (1967),Arthur J Baglee,art/record/99380?highlight=*:*
Seated Male Nude,Graham Durward,art/record/22568?highlight=*:*
Untitled (2006),Greggory Bradford,art/record/99877?highlight=*:*
Teacup,Emma Gillies,art/record/53637?highlight=*:*
